Reported Date,Total Dead and Missing,Location Coordinates
"February 25, 2023",2,"27.36382789, -99.475165"
"February 25, 2023",1,"27.36382789, -99.475165"
"February 25, 2023",1,"27.5024969, -99.528391"
"February 20, 2023",1,"8.450220881, -77.605172"
"February 20, 2023",1,"8.450220881, -77.605172"
"February 20, 2023",4,"8.450220881, -77.605172"
"February 27, 2023",1,"28.60907837, -100.444228"
"February 25, 2023",2,"28.69620768, -100.511021"
"January 08, 2023",1,"31.86396935, -106.68413"
"January 08, 2023",1,"31.86396935, -106.68413"
"January 13, 2023",1,"32.27524951, -112.741824"
"January 21, 2023",1,"31.7450149, -106.404001"
"February 26, 2023",1,"42.21435908, 25.31576"
"February 17, 2023",2,"11.517118, 42.883661"
"March 01, 2023",1,"24.24231006, -15.393163"
"February 15, 2023",3,"9.602008038, 43.333125"
"February 07, 2023",3,"8.476721857, 47.365504"
"February 16, 2023",1,"9.603066287, 43.341193"
"February 09, 2023",4,"8.476721857, 47.365504"
"February 23, 2023",6,"8.476721857, 47.365504"
"February 02, 2023",2,"9.565438991, 44.074924"
"February 15, 2023",1,"8.476721857, 47.365504"
"February 09, 2023",5,"8.476721857, 47.365504"
"February 11, 2023",2,"8.476721857, 47.365504"
"February 15, 2023",2,"8.476721857, 47.365504"
"March 09, 2023",14,"35.04635178, 11.052151"
"March 02, 2023",1,"28.69542822, -100.510909"
"January 15, 2023",1,"31.77246008, -106.515385"
"March 02, 2023",1,"26.07645441, -98.225838"
"March 03, 2023",1,"28.67620913, -100.546849"
"February 26, 2023",1,"4.711000915, -74.071919"
"March 04, 2023",1,"28.33592696, -100.307905"
"March 04, 2023",1,"27.8976001, -100.172438"
"March 04, 2023",1,"28.70920448, -100.511093"
"March 08, 2023",2,"35.39081583, 12.460942"
"March 11, 2023",15,"37.31969373, 27.17141"
"March 11, 2023",34,"-14.65793343, 46.069117"
"March 12, 2023",30,"33.56, 18.28"
"March 12, 2023",1,"52.72529128, 23.897644"
"March 08, 2023",12,"18.84882028, 30.473198"
"February 17, 2023",2,"31.39624829, -110.293716"
"March 16, 2023",8,"31.77950151, 14.055366"
"March 05, 2023",2,"35.8373438, -5.238125"
"March 02, 2023",1,"41.20184031, 26.318883"
"March 04, 2023",1,"41.20184031, 26.318883"
"March 12, 2023",1,"32.89147055, -117.253494"
"March 12, 2023",7,"32.89147055, -117.253494"
"March 14, 2023",1,"37.82357274, 27.181334"
"March 14, 2023",1,"37.82357274, 27.181334"
"March 14, 2023",2,"37.82357274, 27.181334"
"February 16, 2023",4,"8.467987877, -77.691324"
"March 12, 2023",8,"32.89096482, -117.25352"
"March 12, 2023",3,"18.50413029, -67.998914"
"March 09, 2023",1,"31.78439509, -106.564231"
"March 10, 2023",1,"28.83028604, -100.57584"
"January 24, 2023",1,"31.72489081, -106.516119"
"January 24, 2023",1,"31.72489081, -106.516119"
"January 24, 2023",2,"31.72489081, -106.516119"
"January 24, 2023",1,"31.72489081, -106.516119"
"March 13, 2023",3,"14.70032338, -92.156176"
"March 09, 2023",1,"-11.9498779, -77.066199"
"March 12, 2023",1,"25.51138765, -103.425787"
"March 11, 2023",11,"31.15671019, 61.794163"
"March 03, 2023",29,"32.12385825, 24.235389"
"March 20, 2023",17,"36.95763173, 6.691846"
"March 09, 2023",1,"55.71902599, 26.88135"
"March 13, 2023",1,"55.6957828, 26.828867"
"March 20, 2023",1,"42.91895731, 22.942982"
"March 23, 2023",33,"35.02139032, 11.043064"
"February 20, 2023",1,"32.59603368, -116.838996"
