Reported Date,Total Dead and Missing,Location Coordinates
"January 01, 2021",2,"29.36820243, -103.7272989"
"January 02, 2021",1,"31.1745732, -105.3571764"
"January 02, 2021",7,"35.97300155, 0.097709576"
"January 03, 2021",2,"33.02654103, 13.33423606"
"January 03, 2021",2,"33.02654103, 13.33423606"
"January 03, 2021",2,"33.02654103, 13.33423606"
"January 03, 2021",1,"33.02654103, 13.33423606"
"January 03, 2021",1,"33.02654103, 13.33423606"
"January 03, 2021",12,"-28.89352642, 27.89818156"
"January 03, 2021",1,"36.33183667, 0.717642324"
"January 03, 2021",1,"35.7694288, -0.7996491"
"January 04, 2021",1,"35.4913096, -1.2197178"
"January 04, 2021",1,"29.32804465, -100.9316879"
"January 04, 2021",7,"8.629444874, -77.33744874"
"January 05, 2021",1,"10.4302113, -75.5445593"
"January 05, 2021",4,"28.2892937, -16.3786997"
"January 05, 2021",1,"40.94315389, 26.34585211"
"January 05, 2021",1,"31.43222381, -109.8928271"
"January 05, 2021",1,"31.43222381, -109.8928271"
"January 06, 2021",1,"0.8150687, -77.7165925"
"January 06, 2021",1,"40.94447125, 26.35986622"
"January 06, 2021",2,"35.1099953, -2.7307058"
"January 06, 2021",1,"41.42192977, 26.6253197"
"January 07, 2021",1,"27.75958328, -15.68554581"
"January 07, 2021",1,"40.94382293, 26.35849293"
"January 07, 2021",10,"35.14673478, -2.427162152"
"January 07, 2021",1,"31.692633, -111.8142"
"January 08, 2021",1,"28.713166, -100.5093583"
"January 08, 2021",2,"35.17297089, -2.906640912"
"January 08, 2021",1,"29.33161137, -100.9372101"
"January 08, 2021",1,"28.697183, -100.3980824"
"January 09, 2021",1,"28.7117767, -100.5134411"
"January 09, 2021",1,"17.47226562, -91.42500125"
"January 09, 2021",1,"32.678482, -115.985166"
"January 10, 2021",3,"35.22517618, 11.15120828"
"January 10, 2021",1,"27.8821317, -16.61265091"
"January 10, 2021",1,"35.8859977, -5.3212788"
"January 10, 2021",1,"35.9097178, -5.4004997"
"January 10, 2021",1,"31.68276, -110.864752"
"January 10, 2021",1,"27.21161534, 60.68482798"
"January 11, 2021",1,"35.56733278, 11.81751055"
"January 11, 2021",1,"32.51472, -111.8303"
"January 11, 2021",1,"31.83375, -112.3743"
"January 11, 2021",1,"32.542332, -112.343452"
"January 12, 2021",1,"41.32424903, 26.4951148"
"January 12, 2021",1,"35.8996913, -5.2794323"
"January 13, 2021",1,"31.78536, -111.83111"
"January 14, 2021",1,"41.66195052, 26.70196999"
"January 14, 2021",1,"36.22571459, 36.50369628"
"January 14, 2021",1,"30.564167, -104.1625"
"January 14, 2021",1,"32.67996, -115.44769"
"January 15, 2021",1,"31.33415, -110.11293"
"January 16, 2021",1,"41.63564055, 26.4825442"
